"State","Year","Count*(CrashID)"
"Australian Capital Territory",1989,32
"Australian Capital Territory",1990,26
"Australian Capital Territory",1991,17
"Australian Capital Territory",1992,20
"Australian Capital Territory",1993,12
"Australian Capital Territory",1994,17
"Australian Capital Territory",1995,10
"Australian Capital Territory",1996,23
"Australian Capital Territory",1997,17
"Australian Capital Territory",1998,20
"Australian Capital Territory",1999,15
"Australian Capital Territory",2000,18
"Australian Capital Territory",2001,16
"Australian Capital Territory",2002,10
"Australian Capital Territory",2003,11
"Australian Capital Territory",2004,9
"Australian Capital Territory",2005,26
"Australian Capital Territory",2006,13
"Australian Capital Territory",2007,14
"Australian Capital Territory",2008,14
"Australian Capital Territory",2009,12
"Australian Capital Territory",2010,19
"Australian Capital Territory",2011,6
"Australian Capital Territory",2012,12
"Australian Capital Territory",2013,7
"Australian Capital Territory",2014,10
"Australian Capital Territory",2015,15
"Australian Capital Territory",2016,10
"Australian Capital Territory",2017,5
"Australian Capital Territory",2018,9
"Australian Capital Territory",2019,6
"Australian Capital Territory",2020,7
"Australian Capital Territory",2021,11
"Australian Capital Territory",2022,17
"Australian Capital Territory",2023,4
"Australian Capital Territory",2024,11
"Australian Capital Territory",2025,2
"New South Wales",1989,950
"New South Wales",1990,794
"New South Wales",1991,659
"New South Wales",1992,645
"New South Wales",1993,578
"New South Wales",1994,646
"New South Wales",1995,617
"New South Wales",1996,580
"New South Wales",1997,568
"New South Wales",1998,546
"New South Wales",1999,576
"New South Wales",2000,602
"New South Wales",2001,523
"New South Wales",2002,560
"New South Wales",2003,537
"New South Wales",2004,509
"New South Wales",2005,505
"New South Wales",2006,496
"New South Wales",2007,435
"New South Wales",2008,373
"New South Wales",2009,454
"New South Wales",2010,404
"New South Wales",2011,364
"New South Wales",2012,368
"New South Wales",2013,333
"New South Wales",2014,306
"New South Wales",2015,350
"New South Wales",2016,380
"New South Wales",2017,389
"New South Wales",2018,347
"New South Wales",2019,353
"New South Wales",2020,284
"New South Wales",2021,275
"New South Wales",2022,281
"New South Wales",2023,340
"New South Wales",2024,327
"New South Wales",2025,270
"Northern Territory",1989,61
